C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
33,J. Bailey,RW,NYI,76,18,53,71,17,5,0,0,5,26,0,0,1,3,0,0,1,151,-20,73,1,6,5,
34,P. Laine,RW,WIN,82,44,26,70,24,0,6,2,20,11,0,0,0,8,0,2,1,241,8,72,0.9,-,-,
35,B. Schenn,C,STL,82,28,42,70,56,10,3,3,8,11,0,0,2,8,0,2,1,210,10,72,0.9,4.5,5.13,
36,L. Draisa,C,EDM,78,25,45,70,30,0,5,2,6,5,3,1,1,1,0,1,0,194,-7,70,0.9,9,8.5,
37,R. Rakell,LW,ANA,77,34,35,69,14,0,9,3,8,10,0,0,1,3,0,0,1,230,6,71,0.9,3.8,3.79,
38,J. Huberd,LW,FLA,82,27,42,69,32,0,5,0,7,12,0,0,0,4,0,2,0,204,-2,69,0.8,6.2,5.9,
39,M. Marner,RW,TOR,82,22,47,69,26,0,8,2,8,19,0,0,0,2,0,0,0,194,-1,69,0.8,16,10.89,
40,J. Carlso,D,WAS,82,15,53,68,32,0,0,0,4,28,0,0,1,4,0,0,0,237,0,68,0.8,12,8,
41,M. Granlu,LW,NAS,77,21,46,67,18,0,2,1,7,12,1,2,0,2,0,1,1,193,13,69,0.9,6.5,5.75,
42,B. Burns,D,SJ,82,12,55,67,46,0,5,1,5,22,0,1,1,2,0,0,0,332,-16,67,0.8,10,8,
43,J. Klingb,D,DAL,82,8,59,67,26,0,0,0,1,22,0,0,0,3,0,0,0,204,10,67,0.8,5,4.25,
44,V. Tarase,RW,STL,80,33,33,66,17,5,3,2,6,10,0,0,2,5,0,1,0,306,15,66,0.8,9.5,7.5,
45,B. Point,C,TB,82,32,34,66,24,10,8,5,5,6,3,2,4,12,0,2,0,217,18,66,0.8,5.25,6.75,
46,J. Pavels,C,DAL,82,22,44,66,41,5,8,5,7,16,0,0,0,1,0,1,0,224,0,66,0.8,8,7,
47,D. Perron,LW,STL,70,16,50,66,50,0,5,1,1,17,0,0,3,4,0,3,0,125,1,66,0.9,4.75,4,
48,S. Aho,RW,CAR,78,29,36,65,24,0,5,1,8,8,0,0,0,4,0,3,0,200,4,65,0.8,12,8.45,
49,E. Dadono,RW,FLA,74,28,37,65,8,0,1,0,6,7,0,0,0,6,0,0,1,188,10,67,0.9,3.6,4,
50,C. Keller,RW,ARI,82,23,42,65,24,0,6,2,6,14,0,1,2,3,0,1,0,212,-7,65,0.8,0.83,0.89,
51,S. Gostis,D,PHI,78,13,52,65,25,5,1,0,7,26,0,0,1,2,0,0,0,221,10,65,0.8,5.25,4.5,
52,J. Zucker,LW,MIN,82,33,31,64,44,0,1,0,7,9,1,1,0,7,0,5,1,222,8,66,0.8,6.25,5.5,
53,S. Monaha,C,CAL,74,31,33,64,24,0,7,2,9,10,0,0,3,11,0,1,1,202,3,66,0.9,6.75,6.38,
54,F. Forsbe,LW,NAS,67,26,38,64,38,0,10,2,13,8,0,1,2,6,0,2,1,179,27,66,1,6,6,
55,J. Eichel,C,BUF,67,25,39,64,32,0,0,0,3,17,0,2,1,4,0,4,1,246,-25,66,1,10,10,
56,Y. Gourde,C,TB,82,25,39,64,50,10,1,0,7,6,1,1,1,5,0,0,0,136,34,64,0.8,6.3,5.17,
57,T. Terava,LW,CAR,82,23,41,64,14,0,2,1,5,15,0,0,0,3,0,0,1,185,8,66,0.8,6.25,5.4,
58,A. Matthe,C,TOR,62,34,29,63,12,0,6,3,5,8,0,0,2,5,0,0,0,187,25,63,1,15.9,11.63,
59,P. Berger,C,BOS,64,30,33,63,26,0,2,0,10,11,2,1,0,6,0,2,2,224,21,67,1,4.38,6.88,
60,V. Hedman,D,TB,77,17,46,63,54,0,0,0,2,24,0,2,0,1,0,1,0,216,32,63,0.8,8,7.88,
61,D. Larkin,C,DET,82,16,47,63,61,5,3,0,1,7,2,1,0,4,0,0,0,232,-9,63,0.8,7,6.1,
62,A. Lee,LW,NYI,82,40,22,62,44,0,1,0,14,8,0,0,0,2,0,1,0,208,-25,62,0.8,9,7,
63,G. Landes,LW,COL,78,25,37,62,37,5,1,1,8,9,0,1,0,1,0,3,2,183,16,66,0.8,6,5.57,
64,M. Stone,RW,VEG,58,20,42,62,10,0,3,1,1,10,1,1,1,3,0,1,0,132,9,62,1.1,12,9.5,
65,E. Karlss,D,SJ,71,9,53,62,36,0,2,0,3,15,0,1,2,2,0,0,0,196,-25,62,0.9,14.5,11.5,
66,L. Coutur,C,SJ,78,34,27,61,18,0,6,3,10,11,2,1,1,4,0,1,1,204,-2,63,0.8,10,8,
67,V. Arvids,RW,NAS,78,29,32,61,36,0,3,0,3,5,3,0,1,6,0,2,0,247,20,61,0.8,4.25,4.25,
68,D. Brown,RW,LA,81,28,33,61,58,0,0,0,9,6,1,0,3,6,0,3,1,222,31,63,0.8,5.5,5.88,
69,R. O'Reil,C,STL,81,24,37,61,2,0,2,0,15,8,0,4,1,3,0,0,0,230,-23,61,0.8,6,7.5,
70,W. Nyland,RW,TOR,82,20,41,61,10,0,5,1,5,7,0,0,2,8,0,1,0,184,20,61,0.7,9,6.96,
71,R. Getzla,C,ANA,56,11,50,61,42,0,4,1,0,13,1,1,0,0,0,1,0,117,20,61,1.1,8.28,8.25,
72,N. Ehlers,LW,WIN,82,29,31,60,26,0,1,0,7,6,0,0,0,7,0,2,1,231,14,62,0.8,6.5,6,
73,M. Scheif,C,WIN,60,23,37,60,18,0,4,3,8,8,2,1,0,3,0,2,1,125,19,62,1,6.75,6.13,
74,R. Smith,RW,VEG,67,22,38,60,24,0,3,2,7,7,1,1,1,4,0,1,0,162,31,60,0.9,5,5,
75,D. Dought,D,LA,82,10,50,60,54,0,0,0,3,17,1,0,1,4,0,0,0,205,23,60,0.7,12,11,
76,M. Duchen,C,NAS,82,27,32,59,18,0,5,2,9,4,0,0,1,3,0,0,0,190,-22,59,0.7,10,8,
77,J. Eberle,RW,NYI,81,25,34,59,21,5,6,2,3,7,0,0,1,7,0,2,0,183,5,59,0.7,5.5,5.5,
78,J. Schwar,LW,STL,62,24,35,59,26,0,0,0,6,5,1,0,1,3,0,3,1,157,15,61,1,5.75,5.35,
79,P. Subban,D,NJ,82,16,43,59,82,0,0,0,5,20,0,1,0,2,0,2,0,207,18,59,0.7,10,9,
80,T. Krug,D,BOS,76,14,45,59,36,0,0,0,5,19,1,0,0,4,0,0,0,197,0,59,0.8,5,5.25,
81,J. Miller,C,VAN,82,23,35,58,40,0,1,0,11,7,0,0,2,5,0,1,1,143,-4,60,0.7,6,5.25,
82,K. Connor,LW,WIN,76,31,26,57,16,0,0,0,7,4,0,0,3,7,0,3,0,192,8,57,0.8,-,-,
83,S. Jones,D,CLB,78,16,41,57,30,0,0,0,7,17,0,0,1,4,0,0,0,249,10,57,0.7,5.4,5.4,
84,T. Barrie,D,TOR,68,14,43,57,22,0,0,0,7,23,0,0,0,3,0,0,0,178,-15,57,0.8,6,5.5,
85,T. Vanek,LW,DET,80,24,32,56,36,0,3,0,4,11,0,0,0,1,0,1,2,168,-3,60,0.8,-,-,
86,M. Hoffma,LW,FLA,82,22,34,56,32,0,4,2,8,13,0,0,3,5,0,0,0,257,-20,56,0.7,5.65,5.19,
87,D. Stepan,C,ARI,82,14,42,56,26,0,5,1,3,15,2,0,0,2,0,0,0,209,-7,56,0.7,5,6.5,
88,H. Zetter,LW,DET,82,11,45,56,14,0,3,0,1,17,0,0,0,2,0,0,0,180,1,56,0.7,1,6.08,
89,K. Yandle,D,FLA,82,8,48,56,35,5,0,0,1,17,0,2,0,1,0,0,0,179,7,56,0.7,5.75,6.35,
90,N. Kadri,C,COL,80,32,23,55,42,10,0,0,12,7,0,0,0,3,0,2,1,211,2,57,0.7,4.5,4.5,
91,E. Haula,C,CAR,76,29,26,55,37,5,4,1,12,7,0,0,0,4,0,2,0,175,-16,55,0.7,2.75,2.75,
92,B. Boeser,RW,VAN,62,29,26,55,16,0,2,1,10,13,0,0,0,4,0,0,1,179,-5,57,0.9,4,5.88,
93,D. Sedin,LW,VAN,81,23,32,55,40,0,2,1,9,14,0,0,1,5,0,0,0,189,-21,55,0.7,-,-,
94,J. van Ri,LW,PHI,81,36,18,54,30,0,4,1,11,9,0,0,0,5,0,0,1,248,1,56,0.7,8,7,
95,B. Gallag,RW,MON,82,31,23,54,34,0,1,0,8,9,1,0,0,4,0,2,0,278,-13,54,0.7,4,3.75,
96,E. Kane,LW,SJ,78,29,25,54,82,5,0,0,3,6,4,0,0,2,0,1,1,307,-9,56,0.7,8,7,
97,R. Johans,C,NAS,79,15,39,54,78,15,1,0,1,14,0,2,0,3,0,0,0,129,13,54,0.7,8,8,
98,A. Pietra,D,STL,78,15,39,54,22,0,0,0,3,10,0,1,1,5,0,0,0,216,8,54,0.7,7.5,6.5,
99,M. Zuccar,RW,MIN,80,16,37,53,36,0,7,4,1,16,0,0,2,3,0,1,0,178,-10,53,0.7,5,6,
100,P. Stastn,C,VEG,82,16,37,53,18,0,0,0,3,6,0,1,0,3,0,0,0,159,1,53,0.6,6.5,6.5,
101,R. Josi,D,NAS,75,14,39,53,24,0,1,0,7,13,0,1,1,3,0,0,0,253,24,53,0.7,4,4,
102,A. Debrin,LW,CHI,82,28,24,52,6,0,2,1,6,6,0,0,0,1,0,3,3,181,6,58,0.7,0.8,0.78,
103,N. Schmal,C,ARI,78,21,31,52,18,0,2,1,4,9,0,2,0,2,0,0,0,118,1,52,0.7,3,5.85,
104,J. Toews,C,CHI,74,20,32,52,47,5,2,0,2,10,0,0,1,2,0,2,0,211,-1,52,0.7,9.8,10.5,
105,N. Hischi,C,NJ,82,20,32,52,26,0,2,0,1,5,0,0,0,2,0,0,0,180,10,52,0.6,0.93,0.93,
106,M. Rielly,D,TOR,76,6,46,52,14,0,0,0,1,24,0,0,0,0,0,0,0,182,-4,52,0.7,5,5,
107,J. Gardin,D,CAR,82,5,47,52,32,0,0,0,1,14,0,0,0,0,0,0,0,133,9,52,0.6,3.65,4.05,
108,C. Smith,RW,NAS,79,25,26,51,24,0,4,1,9,5,0,0,0,2,0,0,0,229,20,51,0.6,4.75,4.25,
109,A. Galche,C,PIT,82,19,32,51,22,0,2,0,9,15,0,0,0,2,0,1,1,213,-31,53,0.6,4.9,4.9,
110,K. Turris,C,NAS,76,16,35,51,26,0,13,6,7,14,0,0,0,0,0,0,0,145,19,51,0.7,6,6,
111,J. Willia,RW,CAR,82,16,35,51,56,10,2,0,2,10,0,0,0,2,0,2,0,198,-9,51,0.6,-,-,
112,K. Letang,D,PIT,79,9,42,51,56,0,2,1,4,16,0,1,0,1,0,0,0,222,-9,51,0.6,7.25,7.25,
113,R. Suter,D,MIN,78,6,45,51,34,0,0,0,1,22,0,1,0,2,0,0,0,149,-1,51,0.7,9,7.54,
114,S. Reinha,RW,BUF,82,25,25,50,26,0,3,1,12,9,0,0,0,5,0,2,1,188,-24,52,0.6,3.75,3.65,
115,A. Henriq,C,ANA,81,24,26,50,20,0,5,1,6,7,1,2,1,8,0,2,0,151,11,50,0.6,5.83,5.83,
116,T. Johnso,C,TB,81,21,29,50,24,0,0,0,4,9,2,0,0,3,0,1,1,186,3,52,0.6,5.5,5,
117,M. Dumba,D,MIN,82,14,36,50,41,5,1,0,2,10,0,1,2,4,0,0,0,176,15,50,0.6,7.4,6,
118,H. Sedin,C,VAN,82,3,47,50,30,0,2,0,0,17,0,0,0,0,0,0,0,67,-22,50,0.6,-,-,
119,P. Hornqv,RW,PIT,70,29,20,49,58,0,0,0,15,7,0,0,0,1,0,0,0,247,2,49,0.7,5.3,5.3,
120,M. Tkachu,LW,CAL,68,24,25,49,61,10,5,4,10,7,0,0,0,2,0,1,0,188,-1,49,0.7,5,7,
121,J. Skinne,LW,BUF,82,24,25,49,34,0,0,0,4,5,0,0,0,2,0,0,0,277,-27,49,0.6,10,9,
122,N. Bjugst,C,PIT,82,19,30,49,41,5,2,1,1,6,0,0,0,1,0,0,1,230,5,51,0.6,5,4.1,
123,C. Perry,RW,DAL,71,17,32,49,71,25,8,3,4,7,0,0,0,1,0,1,0,168,-4,49,0.7,1.5,1.5,
124,A. Mantha,RW,DET,80,24,24,48,52,10,1,0,9,3,0,0,0,2,0,0,0,190,-1,48,0.6,3.3,3.3,
125,R. Nugent,C,EDM,62,24,24,48,20,0,3,2,4,5,2,1,1,2,0,3,0,151,10,48,0.8,6,6,
126,K. Fiala,LW,MIN,80,23,25,48,26,0,10,2,4,9,0,0,0,4,0,1,0,187,20,48,0.6,2.5,3,
127,J. Guentz,LW,PIT,82,22,26,48,42,0,0,0,7,5,0,0,0,1,0,0,0,171,-9,48,0.6,7,6,
128,V. Namest,C,NYR,81,22,26,48,45,5,0,0,9,7,0,0,0,2,0,1,0,155,6,48,0.6,4,4,
129,P. Dubois,C,CLB,82,20,28,48,49,5,3,1,6,9,0,0,1,4,0,1,1,165,8,50,0.6,0.83,0.89,
130,P. Marlea,LW,CAR,82,27,20,47,16,0,5,1,5,4,0,0,1,5,0,5,0,203,1,47,0.6,-,-,
131,M. Zibane,C,NYR,72,27,20,47,14,0,7,3,14,7,0,1,1,4,0,1,0,212,-23,47,0.7,5.35,5.35,
132,T. Konecn,RW,PHI,81,24,23,47,46,10,4,0,1,2,0,0,2,6,0,0,0,177,17,47,0.6,4,5.5,
133,T. Toffol,RW,LA,82,24,23,47,16,0,1,0,6,6,0,0,1,6,0,1,0,251,9,47,0.6,4.8,4.6,
134,T. Oshie,RW,WAS,74,18,29,47,31,5,4,1,9,9,0,0,0,3,0,1,0,127,2,47,0.6,6.5,5.75,
135,D. Heinen,C,BOS,77,16,31,47,16,0,2,0,2,10,1,0,0,4,0,1,0,135,10,47,0.6,2.83,2.8,
136,A. Killor,LW,TB,82,15,32,47,45,5,0,0,2,7,0,0,0,1,0,0,0,156,22,47,0.6,4.45,4.45,
137,C. Atkins,RW,CLB,65,24,22,46,14,0,5,2,3,7,1,0,1,5,0,2,1,231,19,48,0.7,7.38,5.88,
138,W. Simmon,RW,NJ,75,24,22,46,57,15,1,0,11,6,1,0,1,5,0,3,1,176,-16,48,0.6,5,5,
139,T. Hertl,C,SJ,79,22,24,46,41,0,2,0,6,6,1,2,1,5,0,4,0,175,-2,46,0.6,6.25,5.63,
140,D. Brassa,C,NYI,72,21,25,46,34,0,3,0,5,1,0,0,0,3,0,0,0,197,0,46,0.6,1.2,1.2,
141,J. Staal,C,CAR,79,19,27,46,26,0,0,0,4,8,2,0,0,2,0,1,0,160,-4,46,0.6,6,6,
142,A. Steen,LW,STL,76,15,31,46,20,0,1,1,4,10,1,0,0,2,0,3,0,168,-11,46,0.6,5.5,5.75,
143,J. Drouin,LW,MON,77,13,33,46,30,0,8,2,4,18,0,0,0,4,0,0,0,164,-28,46,0.6,5.5,5.5,
144,M. Backlu,C,CAL,82,14,31,45,78,0,2,0,3,8,1,2,0,2,0,1,0,214,-21,45,0.5,5.85,5.35,
145,M. Koivu,C,MIN,82,14,31,45,46,0,6,0,3,11,0,1,0,2,0,1,0,170,9,45,0.5,5,5.5,
146,M. Domi,C,MON,82,9,36,45,73,5,1,0,1,8,0,0,0,0,0,4,0,150,-7,45,0.5,3.15,3.15,
147,D. Byfugl,D,WIN,69,8,37,45,112,10,0,0,4,18,0,1,0,1,0,0,0,193,15,45,0.7,8,7.6,
148,J. Neal,RW,EDM,71,25,19,44,24,0,3,0,5,4,0,0,1,6,0,1,0,202,-11,44,0.6,5.75,5.75,
149,K. Hayes,C,PHI,76,25,19,44,18,0,0,0,6,2,2,0,0,4,0,0,0,172,1,44,0.6,9,7.14,
150,K. Palmie,RW,NJ,62,24,20,44,30,0,6,2,11,12,0,0,0,5,0,1,0,181,-1,44,0.7,5,4.65,
151,B. Horvat,C,VAN,64,22,22,44,10,0,1,0,10,3,1,0,0,3,0,0,0,158,-1,44,0.7,5.78,5.5,
152,D. Krejci,C,BOS,64,17,27,44,18,0,1,0,7,6,0,0,0,2,0,1,1,119,10,46,0.7,7,7.25,
153,D. Hamilt,D,CAR,82,17,27,44,64,0,0,0,6,6,0,0,1,4,0,0,1,270,1,46,0.6,6,5.75,
154,E. Lindho,C,CAL,81,16,28,44,18,0,0,0,6,3,0,1,1,4,0,0,0,153,-8,44,0.5,5.85,4.85,
155,K. Okposo,RW,BUF,76,15,29,44,40,0,0,0,6,15,0,0,0,2,0,1,0,161,-34,44,0.6,6,6,
156,W. Butche,D,NJ,81,5,39,44,8,0,1,0,3,20,0,0,0,1,0,0,0,88,1,44,0.5,3.5,3.73,
157,A. Kerfoo,C,TOR,79,19,24,43,28,0,0,0,5,12,0,0,0,0,0,0,0,81,-7,43,0.5,5,3.5,
158,P. Maroon,LW,TB,74,17,26,43,73,25,0,0,1,6,0,0,0,4,0,1,0,141,1,43,0.6,0.9,0.9,
159,B. Little,C,WIN,82,16,27,43,28,0,6,3,2,10,0,0,1,2,0,0,0,129,2,43,0.5,6.5,5.29,
160,J. DeBrus,LW,BOS,70,16,27,43,19,5,2,1,2,7,0,0,0,5,0,0,0,143,13,43,0.6,0.83,0.86,
161,P. Buchne,RW,NYR,74,14,29,43,20,10,2,0,5,12,0,0,0,4,0,0,0,136,-3,43,0.6,3,3.25,
162,T. Bozak,C,STL,81,11,32,43,28,0,6,5,3,10,0,0,0,2,0,0,0,154,6,43,0.5,5.25,5,
163,O. Ekman-,D,ARI,82,14,28,42,44,0,2,0,6,9,0,0,0,3,0,1,0,202,-28,42,0.5,8,8.25,
164,J. Petry,D,MON,82,12,30,42,28,0,0,0,6,17,0,0,0,2,0,0,0,178,-30,42,0.5,4,5.5,
165,N. Leddy,D,NYI,80,10,32,42,20,0,0,0,4,10,0,0,1,1,0,0,0,153,-42,42,0.5,6,5.5,
166,J. Muzzin,D,TOR,74,8,34,42,40,0,0,0,4,10,0,1,0,1,0,0,0,154,10,42,0.6,4.45,4,
167,R. Dzinge,C,CAR,79,23,18,41,35,5,1,0,4,4,0,0,0,2,0,0,0,136,-17,41,0.5,3.25,3.38,
168,M. Ferlan,LW,VAN,77,21,20,41,24,10,2,0,6,0,0,0,0,0,0,0,0,144,5,41,0.5,4.5,3.5,
169,I. Provor,D,PHI,82,17,24,41,20,0,0,0,2,3,0,0,0,2,0,3,0,203,17,41,0.5,6.75,6.75,
170,R. Nash,C,CLB,76,15,26,41,18,0,2,0,2,1,0,0,0,1,0,1,0,113,16,41,0.5,2.75,2.75,
171,R. Spoone,C,VAN,59,13,28,41,4,0,2,0,1,6,0,0,0,3,0,0,0,107,6,41,0.7,-,-,
172,C. Miller,D,BUF,82,10,31,41,53,5,0,0,5,12,0,1,0,2,0,0,0,177,-4,41,0.5,3.88,3.88,
173,R. Ristol,D,BUF,73,6,35,41,48,5,0,0,1,22,0,0,1,1,0,1,0,182,-25,41,0.6,5.4,5.4,
174,G. Nyquis,RW,CLB,82,21,19,40,20,0,6,2,3,5,0,0,0,2,0,0,0,213,-2,40,0.5,6,5.5,
175,C. Tierne,C,OTT,82,17,23,40,8,0,5,1,3,4,2,2,0,2,0,3,0,118,0,40,0.5,2.98,2.94,
176,J. Silfve,RW,ANA,77,17,23,40,18,0,5,0,2,6,1,1,0,2,0,0,0,187,6,40,0.5,5.25,5.25,
177,Z. Hyman,LW,TOR,82,15,25,40,37,5,0,0,0,0,1,1,0,2,0,1,0,148,22,40,0.5,2.5,2.25,
178,T. Pearso,LW,VAN,82,15,25,40,27,5,0,0,2,3,0,0,2,4,0,1,0,180,11,40,0.5,3.85,3.75,
179,O. Bjorks,RW,CLB,82,11,29,40,9,0,5,1,3,6,0,0,0,2,0,0,0,163,4,40,0.5,2.5,2.5,
180,K. Labanc,RW,SJ,77,11,29,40,32,0,5,2,4,13,0,0,1,3,0,0,0,156,-6,40,0.5,1,1,
181,M. Sergac,D,TB,79,9,31,40,38,0,1,0,3,13,0,0,0,5,0,0,0,141,11,40,0.5,0.83,0.89,
182,M. Perrea,LW,WIN,70,17,22,39,38,0,0,0,6,8,0,1,0,2,0,1,0,139,4,39,0.6,4,4.13,
183,O. Kase,RW,ANA,66,20,18,38,14,0,5,1,1,2,0,0,1,5,0,0,0,146,18,38,0.6,2.6,2.6,
184,L. Eller,C,WAS,81,18,20,38,38,0,0,0,3,3,0,0,0,2,0,3,0,161,-6,38,0.5,4,3.5,
185,A. Ekblad,D,FLA,82,16,22,38,71,15,0,0,5,6,0,0,1,4,0,0,0,189,9,38,0.5,9,7.5,
186,D. Ryan,C,CAL,80,15,23,38,28,0,1,0,3,4,0,0,0,1,0,0,0,135,-15,38,0.5,3.13,3.13,
187,B. Rust,RW,PIT,69,13,25,38,26,0,0,0,2,2,2,1,1,3,0,1,0,123,11,38,0.6,3.5,3.5,
188,M. Giorda,D,CAL,82,13,25,38,63,5,0,0,1,9,1,0,2,4,0,0,0,214,0,38,0.5,6.75,6.75,
189,M. Pacior,LW,VEG,64,17,20,37,30,0,4,0,6,9,1,0,2,4,0,2,0,212,-16,37,0.6,10.5,7,
190,A. Kempe,C,LA,81,16,21,37,49,5,2,2,1,4,0,0,0,3,0,0,1,119,11,39,0.5,1.25,2,
191,Z. Werens,D,CLB,77,16,21,37,16,0,1,0,3,7,0,0,1,3,0,0,0,207,8,37,0.5,4,5,
192,C. Kreide,LW,NYR,58,16,21,37,44,10,0,0,7,5,0,0,0,0,0,0,0,137,-2,37,0.6,4,4.63,
193,C. Soderb,C,ARI,77,16,21,37,26,0,0,0,3,2,0,1,0,3,0,1,0,150,0,37,0.5,4,4.75,
194,A. Tuch,RW,VEG,78,15,22,37,27,5,5,1,4,6,0,0,0,4,0,1,0,171,3,37,0.5,4.75,4.75,
195,C. Dvorak,C,ARI,78,15,22,37,22,0,1,0,2,5,0,0,0,2,0,0,0,151,-19,37,0.5,3.25,4.45,
196,M. Boedke,LW,OTT,74,15,22,37,12,0,0,0,4,4,0,0,0,4,0,0,0,119,0,37,0.5,3,4,
197,C. Coyle,C,BOS,66,11,26,37,18,0,4,1,0,3,1,0,0,1,0,2,0,117,8,37,0.6,4.25,3.2,
198,J. Spurge,D,MIN,61,9,28,37,8,0,1,0,3,10,0,0,1,2,0,1,0,110,-6,37,0.6,5.5,5.19,
199,J. Manson,D,ANA,80,7,30,37,62,20,1,0,0,0,0,1,0,2,0,0,0,117,34,37,0.5,4.25,4.1,
200,M. Grabne,LW,ARI,80,27,9,36,16,0,0,0,0,1,2,1,0,3,0,7,1,167,11,38,0.5,3.78,3.35,
201,T. Meier,RW,SJ,81,21,15,36,51,0,0,0,3,1,0,0,0,4,0,0,0,210,2,36,0.4,4,6,
202,A. Beauvi,LW,NYI,71,21,15,36,16,0,2,0,3,5,0,0,0,2,0,0,0,132,2,36,0.5,1.8,2.1,
203,J. Thornt,C,SJ,47,13,23,36,38,10,0,0,7,11,0,0,0,1,0,2,0,75,-9,36,0.8,2,2,
204,T. Myers,D,VAN,82,6,30,36,48,0,0,0,3,14,1,0,1,3,0,0,0,150,9,36,0.4,7,6,
205,N. Schmid,D,VEG,76,5,31,36,16,0,0,0,1,10,0,0,0,1,0,0,0,103,19,36,0.5,8.8,5.95,
206,P. Byron,LW,MON,82,20,15,35,23,5,8,3,2,2,1,1,0,1,0,1,1,115,-4,37,0.5,4,3.4,
