C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
1,C. McDavi,C,EDM,82,41,67,108,26,0,6,4,5,15,1,3,2,7,0,2,3,274,20,114,1.4,14,12.5,
2,C. Giroux,RW,PHI,82,34,68,102,20,0,6,0,9,27,0,0,1,1,0,1,1,193,28,104,1.3,8,8.28,
3,N. Kucher,RW,TB,80,39,61,100,42,0,4,1,8,28,0,0,0,7,0,1,0,279,15,100,1.3,12,9.5,
4,E. Malkin,C,PIT,78,42,56,98,87,5,4,2,14,24,0,0,2,7,0,4,1,239,16,100,1.3,9.5,9.5,
5,N. MacKin,C,COL,74,39,58,97,55,15,3,1,12,20,0,1,3,12,0,1,0,284,11,97,1.3,6.75,6.3,
6,T. Hall,LW,NJ,76,39,54,93,34,0,8,2,13,24,1,0,3,7,0,0,0,278,14,93,1.2,6,6,
7,A. Kopita,C,LA,82,35,57,92,20,0,3,1,7,20,0,2,0,6,0,4,1,200,21,94,1.1,11,10,
8,P. Kessel,RW,ARI,82,34,58,92,36,0,2,0,12,30,0,0,3,6,0,0,0,261,-4,92,1.1,7,8,
9,B. Wheele,RW,WIN,81,23,68,91,52,0,4,1,6,34,0,2,0,2,0,2,1,246,13,93,1.1,10,8.25,
10,S. Crosby,C,PIT,82,29,60,89,46,0,4,2,9,29,0,0,3,6,0,3,0,247,0,89,1.1,9,8.7,
11,A. Ovechk,LW,WAS,82,49,38,87,32,0,3,2,17,14,0,0,3,7,0,3,3,355,3,93,1.1,10,9.54,
12,S. Stamko,C,TB,78,27,59,86,72,10,5,3,15,18,0,0,0,1,0,0,0,212,18,86,1.1,9.5,8.5,
13,B. Marcha,LW,BOS,68,34,51,85,63,0,5,1,8,15,1,3,5,8,0,3,1,182,25,87,1.3,7.5,6.13,
14,M. Barzal,C,NYI,82,22,63,85,30,0,3,1,5,22,0,0,1,4,0,0,1,170,1,87,1.1,0.83,0.86,
15,J. Vorace,RW,PHI,82,20,65,85,50,0,8,3,5,30,0,0,1,3,0,1,0,228,10,85,1,9.25,8.25,
16,J. Tavare,C,TOR,82,37,47,84,26,0,5,1,12,18,2,1,2,3,0,3,2,257,-12,88,1.1,15.9,11,
17,M. Rantan,RW,COL,81,29,55,84,34,0,3,1,12,23,0,0,0,3,0,3,0,178,0,84,1,-,-,
18,J. Gaudre,LW,CAL,80,24,60,84,26,0,2,1,3,21,0,0,0,4,0,1,0,227,2,84,1,6.75,6.75,
19,E. Kuznet,C,WAS,79,27,56,83,48,0,3,1,7,23,1,0,2,8,0,1,0,187,3,83,1.1,8.4,7.8,
20,A. Panari,LW,NYR,81,27,55,82,26,0,10,6,7,14,0,0,1,5,0,2,1,228,23,84,1,14,11.64,
21,D. Pastrn,RW,BOS,82,35,45,80,37,5,5,2,13,13,0,0,0,5,0,1,1,246,10,82,1,6.8,6.67,
22,J. Benn,LW,DAL,82,36,43,79,54,10,1,0,9,13,1,1,1,7,0,1,2,241,20,83,1,13,9.5,
23,W. Karlss,C,VEG,82,43,35,78,12,0,3,0,8,8,4,1,1,6,0,2,2,184,49,82,1,5.9,5.9,
24,T. Seguin,C,DAL,82,40,38,78,43,5,7,4,14,11,1,1,1,6,0,4,1,335,12,80,1,13.5,9.85,
25,A. Barkov,C,FLA,79,27,51,78,14,0,6,4,5,12,5,0,0,3,0,3,0,256,9,78,1,6.9,5.9,
26,E. Staal,C,MIN,82,42,34,76,42,0,3,0,11,6,2,1,0,4,0,6,1,241,8,78,1,3.5,3.25,
27,S. Coutur,C,PHI,82,31,45,76,31,5,4,1,7,7,0,0,2,6,0,2,0,227,34,76,0.9,4.5,4.33,
28,P. Kane,RW,CHI,82,27,49,76,32,0,3,1,5,17,0,0,2,4,0,2,0,285,-20,76,0.9,9.8,10.5,
29,V. Troche,C,FLA,82,31,44,75,54,0,6,2,13,14,3,1,0,5,0,5,1,287,-9,77,0.9,5.25,4.75,
30,J. Marche,C,VEG,77,27,48,75,40,0,4,0,6,10,0,0,2,6,0,4,0,268,36,75,1,6,5,
31,A. Radulo,RW,DAL,82,27,45,72,72,0,7,3,7,16,0,0,2,4,0,3,0,217,4,72,0.9,6.6,6.25,
32,N. Backst,C,WAS,81,21,50,71,46,0,1,0,7,19,0,0,1,4,0,1,0,165,5,71,0.9,8,6.7,
