C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
176,P. Hornqv,RW,PIT,69,18,19,37,26,0,0,0,6,6,0,0,0,2,0,0,1,197,-3,39,0.6,5.3,5.3,
177,A. Cirell,C,TB,82,19,20,39,34,10,1,0,0,1,5,1,1,5,0,2,0,123,25,39,0.5,0.7,0.73,
178,K. Fiala,LW,MIN,83,13,26,39,36,0,4,0,2,9,0,0,0,2,0,0,0,174,-23,39,0.5,2.5,3,
179,D. Hamilt,D,CAR,82,18,21,39,54,0,2,2,2,5,0,0,0,2,0,1,0,259,0,39,0.5,6,5.75,
180,F. Vatran,C,FLA,81,24,15,39,38,0,1,0,2,6,0,0,0,1,0,3,0,208,-10,39,0.5,2.53,2.53,
181,D. Severs,D,NJ,82,11,28,39,58,0,2,1,3,9,0,1,0,0,0,0,0,146,-27,39,0.5,4.68,4.17,
182,T. Bozak,C,STL,72,13,25,38,20,0,5,3,2,6,0,0,0,3,0,0,0,141,-3,38,0.5,5.25,5,
183,P. Buchne,RW,NYR,64,21,17,38,13,5,2,0,7,5,0,0,0,1,0,0,0,119,-10,38,0.6,3,3.25,
184,D. Ryan,C,CAL,81,13,25,38,24,0,0,0,2,5,0,4,0,1,0,1,0,103,21,38,0.5,3.13,3.13,
185,C. Smith,RW,NAS,76,21,17,38,20,0,1,0,4,4,0,0,0,2,0,0,0,205,11,38,0.5,4.75,4.25,
186,J. Schwar,LW,STL,69,11,25,36,16,0,0,0,2,3,0,0,0,1,0,2,1,183,-6,38,0.6,5.75,5.35,
187,A. Chiass,RW,EDM,73,22,16,38,32,0,3,1,8,7,1,1,0,1,0,0,0,123,-1,38,0.5,2.15,2.15,
188,J. Muzzin,D,TOR,80,9,28,37,47,5,0,0,1,4,0,1,0,1,0,0,0,141,21,37,0.5,4.45,4,
189,P. Marlea,LW,CAR,82,16,21,37,28,0,0,0,4,6,0,0,0,3,0,0,0,161,-6,37,0.5,-,-,
190,J. Eberle,RW,NYI,78,19,18,37,17,5,6,1,7,5,0,0,0,5,0,0,0,160,-6,37,0.5,5.5,5.5,
191,A. Anisim,C,OTT,78,15,22,37,14,0,0,0,1,3,1,0,0,1,0,0,0,142,-2,37,0.5,4,4.55,
192,A. Svechn,RW,CAR,82,20,17,37,62,0,0,0,0,5,0,0,1,3,0,4,0,189,0,37,0.5,0.93,0.93,
193,D. Kahun,LW,PIT,82,13,24,37,6,0,0,0,1,1,0,0,0,2,0,1,0,137,10,37,0.5,0.93,0.93,
194,B. Rust,RW,PIT,72,18,17,35,24,0,0,0,0,0,2,2,0,4,0,0,1,141,10,37,0.5,3.5,3.5,
195,S. Theodo,D,VEG,79,12,25,37,20,0,3,1,4,5,0,1,1,1,0,0,0,202,-4,37,0.5,5.2,5.2,
196,F. Nielse,C,DET,72,10,25,35,14,0,7,1,0,8,0,1,0,4,0,0,1,120,-7,37,0.5,5.5,5.25,
197,A. Ekblad,D,FLA,82,13,24,37,47,5,0,0,5,5,0,0,1,1,0,0,0,180,1,37,0.5,9,7.5,
198,J. Donsko,RW,COL,80,14,23,37,10,0,1,0,1,2,0,0,0,4,0,0,0,115,10,37,0.5,4.9,3.9,
199,R. Pulock,D,NYI,82,9,28,37,22,0,0,0,3,6,0,0,1,3,0,1,0,180,21,37,0.5,2.65,2,
200,T. Hall,LW,NJ,33,11,26,37,16,0,1,0,1,11,0,0,0,3,0,1,0,113,-6,37,1.1,6,6,
201,S. Gostis,D,PHI,78,9,28,37,22,0,0,0,4,10,0,0,1,2,0,0,0,180,-20,37,0.5,5.25,4.5,
202,L. Eller,C,WAS,81,13,23,36,37,5,1,0,0,3,1,2,1,1,0,2,0,163,-1,36,0.4,4,3.5,
203,O. Bjorks,RW,CLB,77,23,13,36,8,0,1,0,3,0,0,0,0,1,0,0,0,161,8,36,0.5,2.5,2.5,
204,B. Colema,C,NJ,78,22,14,36,71,5,3,1,3,0,3,2,0,3,0,4,0,213,-19,36,0.5,1.8,1.8,
205,T. Vanek,LW,DET,64,16,20,36,26,0,4,0,4,7,0,0,0,1,0,0,0,108,-12,36,0.6,-,-,
206,T. Sanhei,D,PHI,82,9,26,35,22,0,0,0,2,3,0,0,1,2,0,0,0,121,-4,35,0.4,3.25,3.25,
207,M. Boedke,LW,OTT,71,7,28,35,6,0,0,0,2,5,0,0,0,1,0,1,0,88,-23,35,0.5,3,4,
208,J. Faulk,D,CAR,82,11,24,35,47,5,0,0,6,4,0,0,0,3,0,1,0,217,9,35,0.4,6,4.83,
209,B. Montou,D,BUF,82,8,27,35,56,0,0,0,1,5,0,0,0,2,0,0,0,181,-20,35,0.4,3.53,3.39,
210,D. Stepan,C,ARI,72,15,20,35,14,0,0,0,1,2,3,0,1,3,0,1,0,195,-2,35,0.5,5,6.5,
211,R. Strome,C,NYR,81,19,16,35,64,10,0,0,4,3,0,0,2,2,0,2,0,110,-3,35,0.4,3.2,3.1,
212,J. Vesey,LW,BUF,81,17,18,35,21,5,3,1,1,3,0,0,0,4,0,1,0,154,-6,35,0.4,2.35,2.28,
213,J. McCann,LW,PIT,78,19,16,35,31,5,0,0,1,2,4,0,0,2,0,4,0,150,-1,35,0.4,1.25,1.25,
214,V. Dunn,D,STL,78,12,23,35,45,5,0,0,3,5,0,0,1,4,0,0,0,150,14,35,0.4,0.78,0.72,
215,N. Folign,LW,CLB,73,17,18,35,44,20,0,0,2,2,0,0,0,2,0,0,0,141,12,35,0.5,5.5,5.5,
216,N. Bonino,C,NAS,81,17,18,35,18,0,0,0,3,0,0,1,0,1,0,1,0,118,27,35,0.4,4.1,4.1,
217,A. Edler,D,VAN,56,10,24,34,54,0,1,0,4,13,0,1,2,2,0,0,0,128,3,34,0.6,7,6,
218,C. Coyle,C,BOS,81,12,22,34,20,0,1,1,1,3,1,0,0,2,0,0,0,155,-1,34,0.4,4.25,3.2,
219,J. Kotkan,C,MON,79,11,23,34,26,0,1,0,1,4,0,0,0,2,0,0,0,134,1,34,0.4,0.93,0.93,
220,I. Kovalc,LW,LA,64,16,18,34,10,0,5,4,4,5,0,0,1,1,0,1,0,141,-26,34,0.5,6,6.25,
221,V. Troche,C,FLA,55,10,24,34,54,0,5,2,3,10,1,0,0,1,0,1,0,158,-9,34,0.6,5.25,4.75,
222,O. Palat,LW,TB,64,8,26,34,20,0,0,0,2,6,0,0,0,1,0,1,0,100,4,34,0.5,5.3,5.3,
223,T. Toffol,RW,LA,82,13,21,34,23,5,1,1,3,2,0,0,2,3,0,2,0,226,-16,34,0.4,4.8,4.6,
224,C. Sheary,LW,BUF,78,14,20,34,12,0,3,1,4,2,0,0,1,3,0,1,0,147,-18,34,0.4,3,3,
225,M. Frolik,RW,CAL,65,16,18,34,26,0,0,0,0,0,2,0,0,4,0,3,0,132,24,34,0.5,3,4.3,
226,D. Heinen,C,BOS,77,11,23,34,16,0,3,0,1,6,0,0,0,2,0,0,0,114,13,34,0.4,2.83,2.8,
227,T. Brodie,D,CAL,79,9,25,34,24,0,0,0,1,3,1,0,1,1,0,1,0,102,29,34,0.4,4.84,4.65,
228,R. Thomas,C,STL,70,9,24,33,14,0,1,0,3,4,0,0,0,0,0,0,0,80,-2,33,0.5,0.93,0.89,
229,O. Lindbl,LW,PHI,81,17,16,33,20,0,0,0,2,1,0,0,0,2,0,2,0,162,-9,33,0.4,0.93,0.93,
230,A. Iafall,LW,LA,82,15,18,33,22,0,3,0,2,4,0,0,0,2,0,1,0,148,-17,33,0.4,2.4,2.43,
