C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
274,J. Vesey,LW,BUF,80,16,11,27,26,10,3,1,5,3,0,0,0,6,0,0,0,116,-13,27,0.3,2.35,2.28,
275,J. Iginla,RW,LA,80,14,13,27,70,20,1,0,7,4,0,0,1,4,0,0,0,153,-30,27,0.3,-,-,
276,A. Rousse,LW,VAN,60,12,15,27,115,40,0,0,0,3,0,0,0,3,0,1,1,82,1,29,0.5,3.8,3,
277,S. Doan,RW,ARI,74,6,21,27,48,0,1,0,3,2,0,0,0,0,0,1,0,144,-3,27,0.4,-,-,
278,M. Streit,D,MON,68,6,21,27,28,0,0,0,1,12,0,0,0,2,0,0,0,114,-12,27,0.4,-,-,
279,M. Rielly,D,TOR,76,6,21,27,21,5,0,0,1,4,0,0,1,1,0,0,0,171,-20,27,0.4,5,5,
280,E. Haula,C,CAR,72,15,11,26,28,0,0,0,1,0,0,0,0,4,0,0,0,134,5,26,0.4,2.75,2.75,
281,S. Bennet,C,CAL,81,13,13,26,75,15,2,0,4,0,0,1,0,0,0,1,0,122,-16,26,0.3,2.55,2.55,
282,J. Huberd,LW,FLA,31,10,16,26,13,5,2,1,3,4,0,0,1,2,0,0,0,86,-2,26,0.8,6.2,5.9,
283,M. Boedke,LW,OTT,81,10,16,26,10,0,1,0,0,1,1,0,0,2,0,0,1,122,0,28,0.3,3,4,
284,S. Wilson,LW,BUF,78,8,18,26,32,10,0,0,0,0,0,0,0,1,0,0,0,127,0,26,0.3,1.1,1.05,
285,I. Cole,D,COL,81,5,21,26,72,10,0,0,0,1,0,0,0,1,0,0,0,89,26,26,0.3,4.75,4.25,
286,P. Martin,D,SJ,81,4,22,26,20,0,0,0,0,0,0,0,0,1,0,0,0,57,10,26,0.3,-,-,
287,M. Ferlan,LW,VAN,76,15,10,25,50,30,0,0,2,2,0,0,0,1,0,0,0,106,-1,25,0.3,4.5,3.5,
